iter	Passed	Remaining
656	2294	1198
657	2296	1193
658	2304	1192
659	2306	1188
660	2309	1184
661	2310	1179
662	2312	1175
663	2318	1173
664	2320	1168
665	2322	1164
666	2325	1160
667	2327	1156
668	2338	1156
669	2340	1152
670	2341	1148
671	2343	1144
672	2351	1142
673	2353	1138
674	2358	1135
675	2360	1131
676	2370	1130
677	2373	1127
678	2375	1122
679	2380	1120
680	2382	1116
681	2384	1111
682	2386	1107
683	2388	1103
684	2390	1099
685	2398	1097
686	2400	1093
687	2402	1089
688	2403	1085
689	2405	1080
690	2408	1077
691	2410	1072
692	2412	1068
693	2413	1064
694	2415	1059
695	2416	1055
696	2418	1051
697	2420	1047
698	2421	1042
699	2423	1038
700	2425	1034
701	2426	1030
702	2428	1025
703	2429	1021
704	2431	1017
705	2433	1013
706	2435	1009
707	2437	1005
708	2439	1001
709	2440	997
710	2442	992
711	2444	988
712	2445	984
713	2447	980
714	2452	977
715	2454	973
716	2455	969
717	2457	965
718	2458	960
719	2460	956
720	2462	952
721	2463	948
722	2466	945
723	2468	940
724	2469	936
725	2471	932
726	2472	928
727	2474	924
728	2476	920
729	2477	916
730	2483	913
731	2485	909
732	2486	905
733	2488	901
734	2489	897
735	2491	893
736	2492	889
737	2495	885
738	2497	881
739	2498	877
740	2500	873
741	2501	869
742	2503	865
743	2504	861
744	2506	857
745	2507	853
746	2515	852
747	2517	848
748	2518	844
749	2520	840
750	2522	836
751	2523	832
752	2526	828
753	2528	824
754	2529	820
755	2531	817
756	2532	813
757	2534	809
758	2536	805
759	2538	801
760	2543	798
761	2545	795
762	2546	791
763	2548	787
764	2549	783
765	2551	779
766	2553	775
767	2557	772
768	2558	768
769	2560	764
770	2562	760
771	2563	757
772	2565	753
773	2567	749
774	2568	745
775	2574	743
776	2576	739
777	2577	735
778	2579	731
779	2581	728
780	2582	724
781	2584	720
782	2587	717
783	2589	713
784	2590	709
785	2592	705
786	2594	702
787	2596	698
788	2598	694
789	2605	692
790	2607	688
791	2609	685
792	2611	681
793	2613	677
794	2615	674
795	2619	671
796	2621	667
797	2642	668
798	2645	665
799	2647	661
800	2649	658
801	2652	654
802	2653	651
803	2655	647
804	2657	643
805	2659	640
806	2667	638
807	2669	634
808	2671	630
809	2673	627
810	2677	624
811	2680	620
812	2682	617
813	2684	613
814	2687	609
815	2688	606
816	2698	604
817	2700	600
818	2702	597
819	2703	593
820	2705	589
821	2711	587
822	2713	583
823	2715	579
824	2716	576
825	2718	572
826	2720	569
827	2727	566
828	2729	563
829	2731	559
830	2732	555
831	2734	552
832	2736	548
833	2739	545
834	2741	541
835	2742	538
836	2746	534
837	2748	531
838	2784	534
839	2799	533
840	2808	530
841	2809	527
842	2811	523
843	2813	519
844	2814	516
845	2816	512
846	2828	510
847	2830	507
848	2832	503
849	2840	501
850	2841	497
851	2843	493
852	2845	490
853	2846	486
854	2857	484
855	2858	480
856	2860	477
857	2862	473
858	2866	470
859	2874	468
860	2876	464
861	2878	460
862	2889	458
863	2892	455
864	2894	451
865	2898	448
866	2900	444
867	2902	441
868	2904	437
869	2905	434
870	2907	430
871	2908	426
872	2910	423
873	2917	420
874	2919	417
875	2921	413
876	2922	409
877	2924	406
878	2927	403
879	2929	399
880	2931	395
881	2933	392
882	2935	388
883	2937	385
884	2938	381
885	2940	378
886	2948	375
887	2950	372
888	2952	368
889	2953	365
890	2961	362
891	2963	358
892	2964	355
893	2967	351
894	2969	348
895	2970	344
896	2980	342
897	2981	338
898	2983	335
899	2985	331
900	2995	329
901	2998	325
902	3000	322
903	3002	318
904	3012	316
905	3014	312
906	3016	309
907	3018	305
908	3024	302
909	3026	299
910	3028	295
911	3032	292
912	3034	289
913	3042	286
914	3043	282
915	3045	279
916	3047	275
917	3049	272
918	3054	269
919	3056	265
920	3058	262
921	3059	258
922	3061	255
923	3062	251
924	3064	248
925	3072	245
926	3074	242
927	3075	238
928	3077	235
929	3078	231
930	3081	228
931	3084	225
932	3085	221
933	3087	218
934	3089	214
935	3091	211
936	3093	207
937	3101	204
938	3102	201
939	3104	198
940	3106	194
941	3108	191
942	3113	188
943	3115	184
944	3117	181
945	3118	178
946	3121	174
947	3123	171
948	3139	168
949	3148	165
950	3150	162
951	3152	158
952	3154	155
953	3156	152
954	3160	148
955	3162	145
956	3164	142
957	3170	139
958	3173	135
959	3175	132
960	3178	128
961	3180	125
962	3193	122
963	3194	119
964	3196	115
965	3200	112
966	3202	109
967	3204	105
968	3206	102
969	3208	99
970	3210	95
971	3211	92
972	3220	89
973	3222	86
974	3225	82
975	3228	79
976	3233	76
977	3239	72
978	3248	69
979	3252	66
980	3256	63
981	3260	59
982	3262	56
983	3263	53
984	3265	49
985	3267	46
986	3268	43
987	3270	39
988	3272	36
989	3277	33
990	3279	29
991	3280	26
992	3282	23
993	3284	19
994	3285	16
995	3287	13
996	3290	9
997	3292	6
998	3293	3
999	3295	0
